"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.141731375E0,-1.425903178E0,8.938858569E-1,-1.325683422E1,1.336322886E1
2.151668375E0,-1.124422201E0,1.074526887E0,-1.426458196E1,1.434911955E1
2.161606375E0,-1.187119702E0,1.072413630E0,-1.489556202E1,1.498122465E1
2.171543375E0,-2.103201078E0,5.293007782E-1,-1.593098580E1,1.607793278E1
2.181480375E0,-2.043470016E0,1.383383615E-1,-1.640072070E1,1.652811382E1
2.191418375E0,-1.209059332E0,2.337760672E-2,-1.574831761E1,1.579467881E1
2.201355375E0,-1.546363788E-1,1.450510747E-1,-1.390169089E1,1.390330759E1
2.211292375E0,4.648628537E-1,-8.229543071E-2,-1.252080543E1,1.252970226E1
2.221230375E0,7.369590873E-1,-9.606121624E-1,-1.159515260E1,1.165819232E1
2.231167375E0,9.939884347E-1,-1.254652558E0,-1.085622826E1,1.097359823E1
2.241104375E0,9.851285143E-1,-9.553047178E-1,-1.055556677E1,1.064439173E1
2.251042375E0,7.279880697E-1,-6.993457762E-1,-1.060841625E1,1.065633832E1
2.260979375E0,7.185144840E-1,-3.560861508E-1,-1.047526111E1,1.050591052E1
2.270916375E0,9.291987272E-1,-1.340146379E-1,-9.857895713E0,9.902498578E0
2.280854375E0,1.265798228E0,-3.089467753E-1,-9.132894182E0,9.225369879E0
2.290791375E0,1.580493620E0,-9.008091065E-1,-7.942702791E0,8.148370681E0
2.300728375E0,1.677410635E0,-1.351616496E0,-5.541265356E0,5.945266633E0
2.310666375E0,1.449708363E0,-1.183813905E0,-1.953454762E0,2.705375243E0
2.320603375E0,1.277993619E0,-4.466373749E-1,2.288178037E0,2.658667216E0
2.330540375E0,8.758784793E-1,5.046243953E-1,8.110333693E0,8.173085189E0
2.340477375E0,1.548689445E0,2.057735175E0,1.509079821E1,1.530898114E1
2.350415375E0,2.845496626E0,2.963757733E0,2.228278926E1,2.265840701E1
2.360352375E0,2.201779140E0,2.385853728E0,2.861384330E1,2.879743318E1
2.370289375E0,-9.548317511E-1,8.643635575E-1,3.119982822E1,3.122640083E1
2.380227375E0,-4.063709044E0,5.100217408E-2,2.981004329E1,3.008579421E1
2.390164375E0,-5.119902132E0,-8.992169827E-2,2.596185735E1,2.646203924E1
2.400101375E0,-4.346128975E0,1.095831363E0,2.187456473E1,2.232904534E1
2.410039375E0,-3.872685186E0,4.048386123E0,1.840293481E1,1.923681705E1
2.419976375E0,-5.349797695E0,5.608449864E0,1.493165454E1,1.682347624E1
2.429913375E0,-6.599192728E0,4.355400613E0,1.110533602E1,1.363258403E1
2.439851375E0,-4.744084625E0,2.792574939E0,8.426569827E0,1.006538091E1
2.449788375E0,-9.562446577E-1,1.826173303E0,7.630749158E0,7.904280201E0
2.459725375E0,1.090601248E0,1.355037848E0,8.512781759E0,8.688670320E0
2.469663375E0,4.538651547E-1,4.209939356E-1,9.641189130E0,9.661043283E0
2.479600375E0,-1.007817611E0,-5.599244738E-1,8.925520924E0,8.999674190E0
2.489537375E0,-1.256929025E0,-5.851218072E-1,4.541117830E0,4.748051100E0
2.499475375E0,-5.696603072E-1,-2.136375621E-1,-2.082377681E0,2.169435567E0
2.509412375E0,-3.509080759E-1,-8.494854086E-2,-8.288400121E0,8.296259958E0
2.519349375E0,-7.058157203E-1,-5.441726779E-2,-1.284236604E1,1.286186233E1
2.529287375E0,-8.379929803E-1,-1.342700881E-1,-1.571832841E1,1.574122323E1
2.539224375E0,-6.840710948E-1,-6.152942805E-2,-1.750949663E1,1.752296240E1
2.549161375E0,-5.869883846E-1,1.433227839E-1,-1.865100878E1,1.866079380E1
2.559099375E0,-6.331897205E-1,5.286463651E-1,-1.932692703E1,1.934452130E1
2.569036375E0,-6.779785153E-1,1.268594220E0,-1.947547554E1,1.952852103E1
2.578973375E0,-6.682869016E-1,1.954601401E0,-1.896664850E1,1.907880576E1
2.588910375E0,-7.838502485E-1,2.215800617E0,-1.798793335E1,1.814083625E1
2.598848375E0,-1.077237656E0,2.015826573E0,-1.693616544E1,1.708969565E1
2.608785375E0,-1.149420364E0,1.723150041E0,-1.597559304E1,1.610931364E1
2.618722375E0,-1.024545472E0,1.559231390E0,-1.474228311E1,1.485987238E1
2.628660375E0,-8.593487661E-1,1.208533010E0,-1.336258346E1,1.344461487E1
2.638597375E0,-6.363584729E-1,7.505711860E-1,-1.187713691E1,1.191783078E1
2.648534375E0,-4.361938823E-1,2.441579448E-1,-1.035541190E1,1.036746999E1
2.658472375E0,-2.306954616E-1,-4.733389775E-1,-8.808706419E0,8.824430801E0
2.668409375E0,3.827240188E-1,-9.549543234E-1,-6.695097005E0,6.773679897E0
2.678346375E0,1.086966911E0,-1.294548110E0,-4.518272758E0,4.824120707E0
2.688284375E0,1.438704926E0,-1.404254447E0,-3.076538828E0,3.675172592E0
2.698221375E0,1.154919451E0,-1.237737440E0,-2.833402830E0,3.300606688E0
2.708158375E0,7.398511201E-2,-8.508458181E-1,-3.836188620E0,3.930108845E0
2.718096375E0,-1.038300608E0,2.261966870E-1,-5.222940597E0,5.329947615E0
2.728033375E0,-1.833090851E0,1.754144230E0,-5.774893196E0,6.307664820E0
2.737970375E0,-2.033666574E0,3.003599783E0,-3.545074464E0,5.071978346E0
2.747908375E0,-1.473833390E0,2.921709820E0,3.463450257E0,4.764877839E0
2.757845375E0,8.661030310E-1,1.911636207E0,1.501663914E1,1.516258351E1
2.767782375E0,4.205719786E0,-1.245114872E-1,2.838402901E1,2.869419253E1
2.777720375E0,5.882493074E0,-2.503661383E0,3.586597647E1,3.643130952E1
2.787657375E0,5.878885927E0,-2.104551492E0,3.634846064E1,3.688090330E1
2.797594375E0,3.874610382E0,-1.040096800E0,3.130800638E1,3.156399326E1
2.807532375E0,1.959651057E0,1.398889042E0,2.546054515E1,2.557413698E1
2.817469375E0,-1.766591637E0,4.800987389E0,2.020971509E1,2.084713193E1
2.827406375E0,-7.186680611E0,5.798925253E0,1.617106546E1,1.862201037E1
2.837343375E0,-9.435976419E0,4.474122187E0,1.271469091E1,1.645353413E1
2.847281375E0,-9.021032268E0,1.133035954E0,1.154118865E1,1.469223703E1
2.857218375E0,-6.672553650E0,-2.481579081E0,1.209280211E1,1.403271427E1
2.867155375E0,-3.631618811E0,-5.367317707E0,1.286872061E1,1.440835607E1
2.877093375E0,-1.261830015E0,-7.096518300E0,1.338321360E1,1.520076292E1
2.887030375E0,4.512665424E-1,-7.303162994E0,1.114222026E1,1.333000013E1
2.896967000E0,1.653803379E0,-6.991846123E0,5.314428472E0,8.936673196E0
2.906905000E0,2.604709455E0,-6.108545262E0,-6.763854414E-1,6.675053095E0
2.916842000E0,3.567515201E0,-4.830652653E0,-5.480351402E0,8.129982857E0
2.926779000E0,4.338189333E0,-3.618868665E0,-9.025435807E0,1.064775040E1
2.936717000E0,4.328659249E0,-2.846622800E0,-1.175088968E1,1.284227241E1
2.946654000E0,3.814128245E0,-2.311626980E0,-1.406304598E1,1.475332016E1
2.956591000E0,3.445251968E0,-1.650730813E0,-1.573997831E1,1.619696239E1
2.966529000E0,3.589460678E0,-1.121184159E0,-1.707990637E1,1.748898177E1
2.976466000E0,2.939238603E0,-1.281640089E0,-1.826728993E1,1.854657937E1
2.986403000E0,2.212113071E0,-1.750840992E0,-1.961379493E1,1.981564635E1
2.996341000E0,2.663550571E0,-1.129109768E0,-1.888102772E1,1.910137687E1
3.006278000E0,2.648749514E0,-6.882858409E-1,-1.771747507E1,1.792759142E1
3.016215000E0,2.254488281E0,-5.870398401E-1,-1.714153602E1,1.729912109E1
3.026153000E0,2.179671257E0,-2.649594145E-1,-1.649606072E1,1.664155009E1
3.036090000E0,2.290092416E0,-1.117005301E-1,-1.610410782E1,1.626650820E1
3.046027000E0,2.387204435E0,-1.260281087E-1,-1.573566658E1,1.591621282E1
3.055964000E0,2.312921554E0,-1.330478373E-1,-1.522529353E1,1.540054774E1
3.065902000E0,2.234855816E0,-1.594866076E-1,-1.457658120E1,1.474777055E1
3.075839000E0,2.115475845E0,-2.552613688E-1,-1.377309542E1,1.393694923E1
3.085776000E0,1.928615059E0,-3.233743414E-1,-1.275665287E1,1.290567005E1
3.095714000E0,1.781245783E0,-6.095642649E-1,-1.161222413E1,1.176384947E1
3.105651000E0,1.564195091E0,-1.056553131E0,-1.023682803E1,1.040940243E1
3.115588000E0,1.547237873E0,-1.473128800E0,-8.606061221E0,8.867262443E0
3.125526000E0,1.237245397E0,-1.744740738E0,-6.859313718E0,7.185059575E0
3.135463000E0,4.204758357E-1,-1.666462016E0,-4.947838456E0,5.237843160E0
3.145400000E0,-5.944724552E-1,-1.233630356E0,-3.203135725E0,3.483578595E0
